id,query,intent_json
1,vijay film scam 1992,"{""actor"": ""Vijay Deverakonda"", ""title"": ""Scam 1992""}"
2,new on MX Player,"{""platform"": ""MX Player"", ""recency"": ""latest""}"
3,latest Tamil releases,"{""language"": ""Tamil"", ""recency"": ""latest""}"
4,marathi comedy web series,"{""content_type"": ""Web Series"", ""language"": ""Marathi"", ""genre"": ""Comedy""}"
5,new releases on Netflix,"{""platform"": ""Netflix"", ""recency"": ""latest""}"
6,jawan review,"{""title"": ""Jawan"", ""query_type"": ""rating/review""}"
7,what are good sports films on ZEE5,"{""genre"": ""Sports"", ""platform"": ""ZEE5"", ""rating_type"": ""top rated""}"
8,best of fahadh,"{""actor"": ""Fahadh Faasil"",""rating_type"": ""top rated""}"
9,top series recommend karo,"{""content_type"": ""Web Series"", ""rating_type"": ""top rated""}"
10,recommend a sci-fi movie,"{""genre"": ""Sci-Fi""}"
11,taapsee superhit movies,"{""actor"": ""Taapsee Pannu"", ""rating_type"": ""hit""}"
12,movies with bebo,"{""actor"": ""Kareena Kapoor""}"
13,new releases on Disney+ Hotstar,"{""platform"": ""Disney+ Hotstar"", ""recency"": ""latest""}"
14,dark tamil film,"{""mood"": ""dark"", ""language"": ""Tamil""}"
15,Netflix original series,"{""platform"": ""Netflix"", ""content_type"": ""Web Series"", ""badge"": ""Original""}"
16,mani ratnam film with taapsee,"{""actor"": ""Taapsee Pannu"", ""title"": ""Mani Ratnam film""}"
17,best of kangana,"{""actor"": ""Kangana Ranaut"",""rating_type"": ""top rated""}"
18,best psychological thriller movies of 2021,"{""genre"": ""Psychological thriller"", ""year"": 2021,  ""rating_type"": ""top rated""}"
19,hindi mystery 2018,"{""language"": ""Hindi"", ""genre"": ""Mystery"", ""year"": 2018}"
20,greek god 2025 movie,"{""actor"": ""Hrithik Roshan"", ""year"": 2025}"
21,movies like jawan,"{""similar_to"": ""Jawan""}"
22,ranbir ki films,"{""actor"": ""Ranbir Kapoor""}"
23,2018 blockbusters,"{""year"": 2018, ""rating_type"": ""blockbuster""}"
24,underrated Hindi films,"{""language"": ""Hindi"", ""rating_type"": ""underrated""}"
25,SonyLIV binge worthy,"{""content_type"": ""Web Series"", ""platform"": ""SonyLIV"", ""rating_type"": ""top rated"", ""query_type"": ""rating/review""}"
26,best kangana movies,"{""actor"": ""Kangana Ranaut"", ""rating_type"": ""top rated""}"
27,Amazon Prime original series,"{""platform"": ""Amazon Prime"", ""content_type"": ""Web Series"", ""badge"": ""Original""}"
28,new mallu film sci-fi,"{""language"": ""Malayalam"", ""genre"": ""Sci-Fi"", ""recency"": ""latest""}"
29,kabir singh available hai kya OTT pe,"{""title"": ""Kabir Singh"", ""query_type"": ""availability""}"
30,rk drishyam movie,"{""actor"": ""Ranbir Kapoor"", ""title"": ""Drishyam""}"
31,movies with ranveer singh,"{""actor"": ""Ranveer Singh""}"
32,akshay all movies list,"{""actor"": ""Akshay Kumar""}"
33,best telugu lo romance,"{""language"": ""Telugu"", ""genre"": ""Romance"", ""rating_type"": ""top rated""}"
34,MX Player bhojpuri,"{""platform"": ""MX Player"", ""language"": ""Bhojpuri""}"
35,bajrangi bhaijaan kahan dekhein,"{""title"": ""Bajrangi Bhaijaan"", ""query_type"": ""availability""}"
36,romantic movies for date night,"{""genre"": ""Romance"", ""mood"": ""romantic""}"
37,skanda film,"{""title"": ""Skanda""}"
38,tamil mein drama film,"{""language"": ""Tamil"", ""genre"": ""Drama""}"
39,family thriller movies 2018,"{""genre"": ""Thriller"", ""year"": 2018, ""audience"": ""family""}"
40,underrated Malayalam films,"{""language"": ""Malayalam"", ""rating_type"": ""underrated""}"
41,arjun reddy wala ki best historical film,"{""actor"": ""Vijay Deverakonda"", ""genre"": ""Historical"", ""rating_type"": ""top rated""}"
42,supernatural movies of salman,"{""actor"": ""Salman Khan"", ""genre"": ""Supernatural""}"
43,is kartik calling kartik available on Netflix,"{""title"": ""Kartik Calling Kartik"", ""platform"": ""Netflix"", ""query_type"": ""availability""}"
44,2023 blockbusters,"{""year"": 2023, ""rating_type"": ""blockbuster""}"
45,I want to watch something light hearted,"{""mood"": ""light hearted""}"
46,top sandalwood action movies,"{""language"": ""Kannada"", ""genre"": ""Action"", ""rating_type"": ""top rated""}"
47,fahadh ki best comedy film,"{""actor"": ""Fahadh Faasil"", ""genre"": ""Comedy"", ""rating_type"": ""top rated""}"
48,ranbir 2018 movie,"{""actor"": ""Ranbir Kapoor"", ""year"": 2018}"
49,imtiaz ali ki film,"{""director"": ""Imtiaz Ali""}"
50,movies starring nawaz,"{""actor"": ""Nawazuddin Siddiqui""}"
51,vicky kaushal bhojpuri supernatural,"{""actor"": ""Vicky Kaushal"", ""genre"": ""Supernatural"", ""language"": ""Bhojpuri""}"
52,what are good sci-fi films on SonyLIV,"{""genre"": ""Sci-Fi"", ""platform"": ""SonyLIV"", ""rating_type"": ""top rated""}"
53,punjabi biopic web series,"{""content_type"": ""Web Series"", ""language"": ""Punjabi"", ""genre"": ""Biopic""}"
54,MX Player original series,"{""platform"": ""MX Player"", ""content_type"": ""Web Series"", ""badge"": ""Original""}"
55,recommend a sports movie,"{""genre"": ""Sports""}"
56,top rated Marathi action,"{""language"": ""Marathi"", ""genre"": ""Action"",  ""rating_type"": ""top rated""}"
57,MX Player mein kya hai,"{""platform"": ""MX Player""}"
58,best vijay deverakonda movies,"{""actor"": ""Vijay Deverakonda"", ""rating_type"": ""top rated""}"
59,is kgf chapter 2 available on Netflix,"{""title"": ""KGF Chapter 2"", ""platform"": ""Netflix"", ""query_type"": ""availability""}"
60,recommend a romance movie,"{""genre"": ""Romance""}"
61,I want to watch something intense,"{""mood"": ""intense""}"
62,mammootty sandalwood drama,"{""actor"": ""Mammootty"", ""genre"": ""Drama"", ""language"": ""Kannada""}"
63,big b ke saare movies,"{""actor"": ""Amitabh Bachchan""}"
64,new punjabi supernatural,"{""language"": ""Punjabi"", ""genre"": ""Supernatural"", ""recency"": ""latest""}"
65,similar to omg 2,"{""similar_to"": ""OMG 2""}"
66,movies like bahubali,"{""similar_to"": ""Bahubali""}"
67,pathaan jesi film suggest karo,"{""similar_to"": ""Pathaan""}"
68,gujarati psychological thriller 2023,"{""language"": ""Gujarati"", ""genre"": ""Psychological thriller"", ""year"": 2023}"
69,scary movie,"{""mood"": ""scary""}"
70,777 charlie full movie,"{""title"": ""777 Charlie""}"
71,movies like panchayat,"{""similar_to"": ""Panchayat""}"
72,movies with vidya balan,"{""actor"": ""Vidya Balan""}"
73,best k'wood sports,"{""language"": ""Tamil"", ""genre"": ""Sports"", ""rating_type"": ""top rated""}"
74,best web series,"{""content_type"": ""Web Series"", ""rating_type"": ""top rated""}"
75,farhan akhtar all films,"{""director"": ""Farhan Akhtar""}"
76,scam 1992 ke jaise aur koi hai kya,"{""similar_to"": ""Scam 1992""}"
77,action packed movie,"{""mood"": ""action packed""}"
78,Disney+ Hotstar OTT show,"{""content_type"": ""Web Series"", ""platform"": ""Disney+ Hotstar""}"
79,sandalwood mystery film,"{""language"": ""Kannada"", ""genre"": ""Mystery""}"
80,I want to watch something happy,"{""mood"": ""happy""}"
81,bangla 2022,"{""year"": 2022, ""language"": ""Bengali""}"
82,dq premalu movie,"{""actor"": ""Dulquer Salmaan"", ""title"": ""Premalu""}"
83,what are good psychological thriller films on MX Player,"{""genre"": ""Psychological thriller"", ""platform"": ""MX Player"", ""rating_type"": ""top rated""}"
84,award winning Punjabi films,"{""language"": ""Punjabi"", ""rating_type"": ""award winning""}"
85,movies with alia bhatt,"{""actor"": ""Alia Bhatt""}"
86,leo,"{""title"": ""Leo""}"
87,I want to watch something scary,"{""mood"": ""scary""}"
